Month,Year,YYYYMM,SACR_205,COWC_211,BATT_220,COTT_NF,COTT_MF,COTT_SF,PAYS_225,ANTL_233,MILL_243,ELDE_237,THOM_248,DEER_256,STON_263,STON_NF,STON_SF,BIGC_269,BUTT_283,FEAT_341,YUBA_349,BEAR_357,CACH_390,CACH_Low,AMER_374,PUTA_400,CONS_188,DRYC_182,MOKE_173,CALV_161,STAN_146,TUOL_135,ORIS_128,MERC_116,BEAR_105,DEAD_093,"CHOW_080,MADC_080","FRES_069,MADC_069",SANJ_054,KING_023,KAWE_420,TULE_010,KERN_001,FKWI_024,FKWT_011,FKWK_421,"CVCK_004,FKCK_004",LOSG_999,WHIT_999,CLEA_999,DELP_999,CANT_999,PANO_999,LPAN_999,LBAN_999,HOSP_999,INGR_999,DMC,Cal_Aq,Deer,Poso,Zapato,Honcut,Mendota
6,1923,192306,10986439.96,300378.3209,802380.4463,134018.1084,134018.1084,134018.1084,10122.33794,372962.8905,320952.1785,41147.7152,235529.5218,453571.2646,226312.4336,272521.3177,1262247.311,135787.4601,678608.119,7470244.251,8257564.633,0,616598.5122,421105.7173,11453878,46990.69075,644208.6291,20820.74389,4270104.145,106037.6621,3648938.236,3846488.417,0,6356211.01,61721.57279,49377.25824,63408.62912,283919.2349,11811369.35,12545897.22,2563543.804,232361.1477,3393575.515,0,0,0,0,2304.272051,40160.17003,454023.8895,0,781.8065887,493.7725824,1645.908608,0,0,0,0,0,107518.9798,0,1440.170032,25511.58342,0
7,1923,192307,8521559.083,75658.70214,521646.841,29944.9179,29944.9179,38028.45292,4459.881389,246089.8838,207065.9216,19910.18477,22418.86805,342216.2559,232949.1618,499705.8174,2006548.421,87604.813,414768.9692,4617808.975,2885025.594,240634.4932,1887644.798,553503.1367,3871017.764,6012.875801,157210.819,0,1137309.575,24967.3717,733570.8478,1902418.155,0,2656576.134,0,0,12702.69788,119461.1086,8001544.877,6924244.599,1091277.227,45793.42498,2221737.698,0,0,0,0,0,13339.8238,140446.4434,0,0,0,0,0,0,0,0,0,25405.39577,0,0,11149.70347,0
8,1923,192308,7725151.692,51766.48041,418113.8802,20786.2329,20786.2329,23175.45508,1314.072195,229683.8915,195119.8108,19910.18477,15291.02191,324735.1136,193128.7923,674238.4971,2446842.247,79640.73909,311076.7269,4179506.167,1112143.101,122646.7382,1522452.189,556051.6403,860398.7248,0,29148.51051,0,363360.8721,7486.229474,716.7666518,145185.0674,0,533274.3889,0,0,0,19910.18477,2898962.723,1659075.877,215229.0974,5136.827671,888790.6482,0,0,0,0,0,1632.635151,223830.2972,0,0,0,0,0,0,0,0,0,4021.857324,0,0,5973.055432,0
9,1923,192309,8064952.179,90524.97343,419706.695,18516.47184,18516.47184,11973.98512,2756.896918,271245.7386,234541.9766,20573.8576,10204.63337,350743.1243,156361.3177,288980.4038,1201760.17,98754.51647,352059.8512,3885702.189,977834.3039,87397.74708,847601.7853,567591.5834,923066.695,0,33288.50159,0,373127.4814,14442.84803,130973.1775,707329.2242,0,380739.8087,0,0,0,16459.08608,2094912.476,1131191.838,220592.9012,11480.21254,742633.9639,0,0,0,0,0,1563.613177,188415.3879,0,0,0,0,0,0,0,0,0,6953.963868,0,0,6583.634431,0
10,1923,192310,8840122.039,95568.88691,199101.8477,29387.43272,29387.43272,17202.39964,24529.34764,164059.9225,298652.7716,19910.18477,28909.58829,353206.6779,39820.36955,85454.51304,304745.2881,71676.66518,419706.695,4186872.935,1194810.188,97679.36649,29427.25309,235457.8451,1580709.389,0,87883.55559,0,375346.8033,50930.25265,564613.0198,2088777.484,0,526186.3632,0,0,0,27874.25868,1923005.286,890025.0797,212043.4678,33050.90672,617255.5483,0,0,0,0,0,0,128818.8955,0,0,0,0,0,0,0,0,0,14693.71636,0,0,40218.57324,0
11,1923,192311,8476429.33,296263.5494,255115.8342,41188.86291,41188.86291,25305.84485,51599.23486,144099.2986,263345.3773,20573.8576,40160.17003,338151.9235,41147.7152,13990.22317,113526.5462,61721.57279,372469.118,3971412.88,869327.779,69416.19554,22672.39107,18351.88098,1144647.141,0,82748.05526,0,291120.085,51887.26886,99906.6525,391479.3624,0,372880.5951,0,0,0,28803.40064,1355940.659,636596.3018,161587.0776,47237.57705,590552.0085,0,0,0,0,0,0,129903.3369,0,0,0,0,0,0,0,0,0,25264.69713,0,0,54314.98406,0
12,1923,192312,8680840.561,629161.8388,370329.4368,46550.012,46550.012,28790.12718,60646.42282,164059.9225,286706.6607,39820.36955,93538.04806,370289.6164,119461.1086,0,75658.70214,67694.62823,419706.695,3692264.125,1357436.577,98197.0313,21622.46066,17321.86075,1149534.428,7207.486888,129535.6621,0,276194.0832,74185.34846,493852.2231,490905.5158,0,314859.662,19910.18477,15928.14782,39820.36955,27874.25868,1102785.314,468884.8514,154741.9561,63911.69312,549680.3812,0,0,0,0,0,0,195916.2182,0,0,0,0,0,0,0,0,0,9238.325734,0,0,57739.53584,0
1,1924,192401,8999403.517,991527.2017,465898.3237,75539.24103,75539.24103,48620.67121,75340.13918,172262.9187,314580.9194,79640.73909,146180.5766,401548.6065,119461.1086,0,83622.77604,71676.66518,478959.4049,4008119.297,1606751.911,146300.0377,23812.58099,11866.47012,1515842.007,130730.2732,194164.1219,0,345242.604,102816.1942,331026.732,470079.4625,0,406924.3564,39820.36955,31856.29564,39820.36955,47784.44345,1070729.917,551153.7349,172382.3798,76654.21137,544782.4757,0,0,0,0,0,0,288578.2181,0,0,0,0,0,0,0,0,0,12583.23678,0,0,62119.77649,0
2,1924,192402,14217245.04,966261.8638,455462.6406,180652.6586,180652.6586,112801.4951,180184.426,473510.8798,851332.0386,85133.20386,764879.27,1085192.95,425666.0193,0,195806.3689,200063.0291,1208721.228,10954387.31,4717486.225,251440.9176,370712.5362,229263.718,4906694.771,1362556.928,475000.7109,0,679192.7004,155964.0295,172139.3382,135617.1937,0,639520.6274,63849.90289,51079.92231,85133.20386,51079.92231,963239.635,709074.4549,229433.9844,81770.4423,583205.013,0,0,0,0,0,0,1406783.627,0,0,0,0,0,0,0,0,0,14089.54524,0,0,157922.0932,0
3,1924,192403,9158684.995,720748.6888,430059.9911,96325.47393,96325.47393,54912.2896,65106.30421,270698.8722,489790.5454,79640.73909,119739.8512,626334.5926,53757.49889,0,27874.25868,115479.0717,735721.1477,3829405.478,2059310.411,142955.1267,23215.27544,0,2151454.746,92303.61661,205433.2865,0,445390.8334,102816.1942,0,55549.41552,0,768095.1082,99550.92386,79640.73909,119461.1086,127425.1825,1026887.69,827825.6625,296263.5494,105285.0571,635373.8165,0,0,0,0,0,0,214512.3307,0,0,0,0,0,0,0,0,0,39621.2677,0,0,77649.72061,0
